1 2 2 2 0 1 * 1 2 1 2 1 2 2 2 2 2 2 1 2 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 4 1 4 4 4 1 1 2 1 3 2 2 2 0 3 6 1 3 4 3 5 3 4 4 3 2 1 3 1 3 1 1 3 5 1 3 5 3 3 2 5 5 4 1 2 2 2 3 3 3 3 3 3 3 3 3 2 0 3 1 1 4 0 0 * * 1 12 * 3 0 3 4 2 2 4 5 4 4 4 4 4 5 4 5 54 0.02 0 * 0 0 133 1.805 3 5 7 11 14 17 0.236 0.439 0.606 0.418 0.98 0.44 0.857 0.404 1.222 0.473 0.599 0.398 0.807 0.436 0.46 0.328 0.354 0.335 0.47 0.407 0.44 0.586 0.206 0.616 -0.896 0.645 1.101 42 8 392
1 1 2 1 0 2 2 * * * * * * * * * * * * * * * * * * * * * 0 0 2 0 2 2 2 * * * * * * * * * * * * * * * * * * * * * * 4 0 * 2 3 3 3 0 5 3 * * * * * * * * 3 0 * 5 3 4 3 0 3 4 1 * * * * 4 4 3 3 2 2 3 2 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 3 5 7 11 14 17 -0.294 0.446 -0.453 0.713 -0.524 0.699 -0.622 0.671 -0.766 0.393 -0.621 0.729 0.073 0.983 0.074 0.983 0.078 0.981 0.086 0.977 -0.341 0.53 -0.295 0.68 -0.108 0.963 0.177 43 3 387
1 1 1 2 1 2 2 1 1 1 1 2 1 1 1 1 2 1 2 2 1 1 1 2 1 2 1 2 1 1 2 2 2 2 2 2 1 2 2 2 2 2 3 1 2 0 1 3 1 1 0 1 2 2 3 0 3 4 1 2 5 4 4 3 3 4 3 2 0 2 2 2 2 0 3 4 1 3 3 1 4 4 3 3 2 0 1 1 1 3 2 3 3 3 3 3 2 2 2 1 3 2 1 1 1 1 1 0 1 10 * 2 0 5 5 4 5 4 3 4 5 4 2 5 5 5 5 61 0.94 0 * 0 0 111 0.46 2 5 7 11 14 17 -0.049 0.424 -0.505 0.364 -0.161 0.365 -0.049 0.344 0.464 0.402 0.657 0.423 -0.4 0.432 -0.347 0.334 -0.349 0.344 -0.59 0.424 0.144 0.54 0.082 0.588 -0.223 0.627 0.542 44 2 116
1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 2 1 * * * * * * * 1 1 2 2 1 2 2 3 1 1 3 1 3 3 1 1 1 1 1 3 0 3 5 1 3 5 3 5 3 2 3 2 0 1 1 1 1 3 0 2 5 1 3 4 3 2 2 1 3 2 1 0 0 2 3 2 2 * * * * * * 3 0 3 2 1 1 1 1 1 0 1 17 * 4 0 3 4 5 2 5 5 5 5 3 3 5 5 3 5 58 0.545 0 * 0 0 132 1.744 3 4 6 10 * 16 -0.59 0.396 0.012 0.379 0.338 0.385 0.427 0.365 0.355 0.61 0.409 0.417 -0.227 0.437 -0.575 0.33 -0.829 0.339 -1.37 0.42 0.419 0.828 0.513 0.783 -0.639 0.649 1.4 45 1 178
* * * * * * * 1 * 2 0 1 1 1 2 1 2 1 2 2 2 1 1 * 2 1 2 2 2 1 2 1 1 2 1 2 2 2 2 2 2 2 * * * * * * * 3 1 3 2 2 3 1 2 6 1 2 5 0 4 3 1 3 3 2 1 3 1 3 3 1 3 3 1 1 5 1 4 1 2 3 2 1 1 2 2 3 2 3 3 3 3 3 3 2 * * 3 2 * 4 0 1 * * 1 13 * 3 0 4 2 2 2 5 4 4 5 4 5 4 5 4 4 54 0.02 0.375 3 1.125 0 * * * 5 7 11 14 17 -0.299 0.7 -0.649 0.387 0.165 0.389 0.246 0.372 0.072 0.363 0.961 0.458 0.481 0.67 0.707 0.375 0.687 0.341 0.22 0.408 0.494 0.61 0.43 0.676 0.097 0.729 2.06 46 4 300
1 1 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 1 1 4 1 3 4 1 2 1 1 2 2 3 3 4 6 1 3 5 3 3 3 4 4 5 * 0 2 2 1 3 0 3 5 1 3 5 3 5 2 3 3 4 1 2 2 2 3 0 0 3 3 3 3 3 3 3 2 3 2 1 3 0 0 1 0 1 15 * 4 0 5 5 4 2 4 5 5 5 5 * 5 5 4 5 59 0.677 0.375 4 1.5 0 129 1.561 3 4 6 10 13 16 0.895 0.486 1.199 0.479 1.482 0.503 0.915 0.392 1.427 0.5 1.058 0.464 0.676 0.445 0.359 0.336 0.227 0.345 0.436 0.408 0.915 0.666 0.814 0.706 0.299 0.629 0.552 47 2 333
1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 1 1 1 1 1 1 0 1 1 1 1 1 2 1 1 1 1 1 2 2 4 1 3 3 2 4 3 3 0 3 3 2 4 3 4 4 1 2 4 3 2 3 2 3 3 1 0 3 2 2 4 1 2 3 1 2 4 2 3 3 2 3 2 0 2 3 3 2 2 3 1 2 1 2 2 2 * * 2 1 * 4 0 0 * * 1 11 * 2 0 3 5 5 4 4 4 5 5 4 4 5 5 4 5 62 1.071 0 * 0 0 115 0.705 3 5 7 11 14 17 -0.423 0.405 -0.787 0.362 -0.438 0.362 -0.809 0.33 -0.77 0.351 -0.457 0.369 1.251 0.448 1.2 0.335 1.15 0.34 1.285 0.4 -1.876 0.417 -1.653 0.523 -0.826 0.723 0.955 48 6 364
1 1 2 1 0 2 2 * * * * * * * * * * * * * * 1 2 2 1 1 0 2 2 2 1 2 2 2 2 0 1 1 1 2 0 0 1 0 1 0 1 1 0 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1 1 3 2 2 2 3 3 3 2 2 2 * * * * * 4 0 0 1 0 0 8 * 2 0 4 4 4 5 4 5 4 2 3 4 3 4 4 5 55 0.151 0.375 2 0.75 0 89 -0.884 3 * * 11 13 17 -0.175 0.442 -0.199 0.643 -0.168 0.638 -0.426 0.351 0.327 0.394 -1.037 0.361 -1.464 0.512 -1.105 0.633 -0.822 0.657 -0.299 0.446 -0.069 0.556 0.004 0.687 -0.004 0.953 1.761 51 2 151
1 1 1 2 2 * 2 * 2 1 2 2 2 2 0 1 2 1 2 1 2 0 0 2 0 2 0 2 0 0 2 1 2 1 2 * * * * * * * 3 2 3 2 1 3 3 2 2 3 2 * 3 1 2 4 1 2 5 5 3 3 4 4 2 1 2 3 3 2 3 0 1 4 0 3 4 1 0 2 3 2 2 0 0 1 1 2 2 1 3 2 2 2 2 2 3 1 3 1 1 4 0 1 * * 1 12 * 3 0 4 4 2 4 4 4 4 * 3 4 4 5 5 5 52 -0.243 0 * 0 0 125 1.316 3 4 7 11 14 17 0.158 0.462 0.244 0.412 -0.426 0.363 -1.075 0.346 -0.833 0.36 -0.979 0.637 0.576 0.428 0.772 0.336 0.537 0.343 -0.802 0.41 -0.755 0.444 -0.366 0.539 -0.817 0.626 1.127 52 8 6
* * * * * * * 1 1 1 1 1 1 2 1 0 0 1 1 1 2 1 1 1 1 1 2 2 1 2 2 2 1 2 2 1 2 2 2 2 2 2 * * * * * * * 2 2 3 3 2 3 1 2 4 0 2 5 3 5 3 1 2 1 2 2 4 3 2 4 1 2 5 0 1 4 2 4 1 3 2 1 1 3 2 3 2 2 3 3 3 3 3 3 3 3 1 3 2 1 1 1 1 2 1 1 14 * 4 0 5 5 5 5 4 3 5 5 4 4 5 5 5 5 65 1.465 0 * 0 0 * * * 5 7 11 14 17 -0.58 0.696 -0.616 0.377 -0.835 0.359 -0.122 0.351 0.465 0.4 0.729 0.437 0.919 0.67 1.406 0.374 1.559 0.341 1.347 0.405 0.752 0.642 0.615 0.682 0.035 0.63 0.207 56 3 79
